item_name,category_name,records_json
伍家沟民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""湖北省丹江口市"", ""保护单位"": ""丹江口市文化馆""}]"
下堡坪民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""湖北省宜昌市夷陵区"", ""保护单位"": ""宜昌市夷陵区文化馆""}]"
走马镇民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""重庆市九龙坡区"", ""保护单位"": ""重庆市九龙坡区文化馆""}]"
古渔雁民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""辽宁省大洼县"", ""保护单位"": ""盘锦市大洼区文化体育旅游发展促进中心（大洼区总工会文体活动管理中心）""}]"
喀左东蒙民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""辽宁省喀喇沁左翼蒙古族自治县"", ""保护单位"": ""喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心""}]"
谭振山民间故事,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""辽宁省新民市"", ""保护单位"": ""新民市文化馆（新民市考古和文物保护中心）""}]"
河间歌诗,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""河北省河间市"", ""保护单位"": ""河间市文化馆""}]"
吴歌,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""江苏省苏州市"", ""保护单位"": ""苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""江苏省无锡市"", ""保护单位"": ""无锡市锡山区吴歌锡剧研究会""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""上海市青浦区"", ""保护单位"": ""上海市青浦区文化馆（上海青浦画院）""}]"
刘三姐歌谣,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""广西壮族自治区宜州市"", ""保护单位"": ""河池市宜州区刘三姐文化传承中心（河池市宜州区非物质文化遗产保护中心）""}]"
四季生产调,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""云南省红河哈尼族彝族自治州"", ""保护单位"": ""红河哈尼族彝族自治州非物质文化遗产保护中心""}]"
玛纳斯,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区克孜勒苏柯尔克孜自治州"", ""保护单位"": ""克孜勒苏柯尔克孜自治州非物质文化遗产保护（玛纳斯保护研究）中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区文联民间文艺家协会"", ""保护单位"": ""新疆维吾尔自治区民间文艺家协会，新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）""}]"
江格尔,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区和布克塞尔蒙古自治县"", ""保护单位"": ""和布克赛尔蒙古自治县非物质文化遗产保护中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区博尔塔拉蒙古自治州"", ""保护单位"": ""博尔塔拉蒙古自治州文化馆""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区巴音郭楞蒙古自治州"", ""保护单位"": ""新疆巴音郭楞蒙古自治州文化馆""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区文联民间文艺家协会"", ""保护单位"": ""新疆维吾尔自治区民间文艺家协会""}, {""公布时间"": ""2021(第五批)"", ""申报地区或单位"": ""内蒙古自治区"", ""保护单位"": ""内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）""}]"
